Orthogroup_ID	transcript_ID_native	Flybase
N0.HOG0000018	rna-NM_001299221.1	FLYBASE:FBtr0345802,GeneID:35608,GenBank:NM_001299221.1,FLYBASE:FBgn0033121
N0.HOG0000018	rna-NM_001299506.1	FLYBASE:FBtr0344876,GeneID:36667,GenBank:NM_001299506.1,FLYBASE:FBgn0033982
N0.HOG0000019	rna-NM_001299601.1	None
N0.HOG0000020	rna-NM_136949.2	FLYBASE:FBtr0087939,GeneID:36374,GenBank:NM_136949.2,FLYBASE:FBgn0033750
N0.HOG0000023	rna-NM_001258741.2	FLYBASE:FBtr0304873,GeneID:12797977,GenBank:NM_001258741.2,FLYBASE:FBgn0262534
N0.HOG0000025	rna-NM_132518.3	FLYBASE:FBtr0073613,GeneID:32128,GenBank:NM_132518.3,FLYBASE:FBgn0030332
N0.HOG0000025	rna-NM_169954.2	FLYBASE:FBtr0084101,GeneID:42528,GenBank:NM_169954.2,FLYBASE:FBgn0038878
N0.HOG0000025	rna-NM_135147.3	FLYBASE:FBtr0302213,GeneID:33856,GenBank:NM_135147.3,FLYBASE:FBgn0031775
N0.HOG0000025	rna-NM_140407.2	FLYBASE:FBtr0306683,GeneID:39528,GenBank:NM_140407.2,FLYBASE:FBgn0036380
N0.HOG0000025	rna-NM_176714.3	FLYBASE:FBtr0071263,GeneID:31824,GenBank:NM_176714.3,FLYBASE:FBgn0030073
N0.HOG0000025	rna-NM_001042846.3	FLYBASE:FBtr0343092,GeneID:3355162,GenBank:NM_001042846.3,FLYBASE:FBgn0263830
N0.HOG0000025	rna-NM_001042848.2	FLYBASE:FBtr0111189,GeneID:3355165,GenBank:NM_001042848.2,FLYBASE:FBgn0069973
N0.HOG0000025	rna-NM_132467.3	FLYBASE:FBtr0073468,GeneID:32058,GenBank:NM_132467.3,FLYBASE:FBgn0026268
N0.HOG0000028	rna-NM_140938.3	FLYBASE:FBtr0074827,GeneID:40218,GenBank:NM_140938.3,FLYBASE:FBgn0036956
N0.HOG0000028	rna-NM_142433.2	FLYBASE:FBtr0083560,GeneID:42179,GenBank:NM_142433.2,FLYBASE:FBgn0038581
N0.HOG0000028	rna-NM_206689.2	FLYBASE:FBtr0073539,GeneID:32108,GenBank:NM_206689.2,FLYBASE:FBgn0030317
N0.HOG0000034	rna-NM_078922.4	FLYBASE:FBtr0089055,GeneID:35635,GenBank:NM_078922.4,FLYBASE:FBgn0015039
N0.HOG0000034	rna-NM_078921.4	FLYBASE:FBtr0089056,GeneID:35634,GenBank:NM_078921.4,FLYBASE:FBgn0015038
N0.HOG0000034	rna-NM_079126.3	FLYBASE:FBtr0072321,GeneID:37941,GenBank:NM_079126.3,FLYBASE:FBgn0015040
N0.HOG0000034	rna-NM_136976.2	FLYBASE:FBtr0087820,GeneID:36412,GenBank:NM_136976.2,FLYBASE:FBgn0033775
N0.HOG0000034	rna-NM_141932.3	FLYBASE:FBtr0082598,GeneID:41520,GenBank:NM_141932.3,FLYBASE:FBgn0038037
N0.HOG0000034	rna-NM_001363930.1	FLYBASE:FBtr0472646,GeneID:3772405,GenBank:NM_001363930.1,FLYBASE:FBgn0038034
N0.HOG0000037	rna-NM_001275459.1	None
N0.HOG0000044	rna-NM_139409.3	None
N0.HOG0000052	rna-NM_137727.3	FLYBASE:FBtr0071619,GeneID:37428,GenBank:NM_137727.3,FLYBASE:FBgn0034612
N0.HOG0000052	rna-NM_143422.3	FLYBASE:FBtr0273260,GeneID:43451,GenBank:NM_143422.3,FLYBASE:FBgn0039645
N0.HOG0000052	rna-NM_143421.3	FLYBASE:FBtr0085387,GeneID:43450,GenBank:NM_143421.3,FLYBASE:FBgn0039644
N0.HOG0000057	rna-NM_143287.2	FLYBASE:FBtr0085114,GeneID:43274,GenBank:NM_143287.2,FLYBASE:FBgn0039495
N0.HOG0000057	rna-NM_143286.3	FLYBASE:FBtr0085112,GeneID:43273,GenBank:NM_143286.3,FLYBASE:FBgn0039494
N0.HOG0000058	rna-NM_142911.4	FLYBASE:FBtr0084440,GeneID:42791,GenBank:NM_142911.4,FLYBASE:FBgn0039102
N0.HOG0000058	rna-NM_132354.3	FLYBASE:FBtr0071387,GeneID:31917,GenBank:NM_132354.3,FLYBASE:FBgn0019929
N0.HOG0000058	rna-NM_001316492.1	FLYBASE:FBtr0445313,GeneID:40541,GenBank:NM_001316492.1,FLYBASE:FBgn0027930
N0.HOG0000058	rna-NM_079638.3	FLYBASE:FBtr0083083,GeneID:41858,GenBank:NM_079638.3,FLYBASE:FBgn0000533
N0.HOG0000058	rna-NM_142123.3	FLYBASE:FBtr0082966,GeneID:41777,GenBank:NM_142123.3,FLYBASE:FBgn0038250
N0.HOG0000063	rna-NM_135575.2	FLYBASE:FBtr0080094,GeneID:34451,GenBank:NM_135575.2,FLYBASE:FBgn0032265
N0.HOG0000063	rna-NM_001273427.1	FLYBASE:FBtr0331672,GeneID:34450,GenBank:NM_001273427.1,FLYBASE:FBgn0032264
N0.HOG0000063	rna-NM_135576.3	FLYBASE:FBtr0080095,GeneID:34452,GenBank:NM_135576.3,FLYBASE:FBgn0032266
N0.HOG0000063	rna-NM_164939.2	FLYBASE:FBtr0080104,GeneID:34463,GenBank:NM_164939.2,FLYBASE:FBgn0051871
N0.HOG0000063	rna-NM_078816.4	FLYBASE:FBtr0080124,GeneID:43973,GenBank:NM_078816.4,FLYBASE:FBgn0023496
N0.HOG0000063	rna-NM_001273428.2	None
N0.HOG0000064	rna-NM_001014548.2	FLYBASE:FBtr0100169,GeneID:37877,GenBank:NM_001014548.2,FLYBASE:FBgn0034990
N0.HOG0000067	rna-NM_137604.2	None
N0.HOG0000067	rna-NM_001299690.1	FLYBASE:FBtr0345676,GeneID:37266,GenBank:NM_001299690.1,FLYBASE:FBgn0034470
N0.HOG0000067	rna-NM_137601.4	FLYBASE:FBtr0086327,GeneID:37267,GenBank:NM_137601.4,FLYBASE:FBgn0034471
N0.HOG0000067	rna-NM_137598.3	FLYBASE:FBtr0086476,GeneID:37264,GenBank:NM_137598.3,FLYBASE:FBgn0034468
N0.HOG0000068	rna-NM_141040.2	None
N0.HOG0000071	rna-NM_079294.3	FLYBASE:FBtr0076300,GeneID:39189,GenBank:NM_079294.3,FLYBASE:FBgn0036078
N0.HOG0000071	rna-NM_079690.2	FLYBASE:FBtr0083887,GeneID:42425,GenBank:NM_079690.2,FLYBASE:FBgn0038798
N0.HOG0000071	rna-NM_079557.3	FLYBASE:FBtr0081872,GeneID:41011,GenBank:NM_079557.3,FLYBASE:FBgn0037594
N0.HOG0000071	rna-NM_079556.3	FLYBASE:FBtr0081899,GeneID:41008,GenBank:NM_079556.3,FLYBASE:FBgn0037591
N0.HOG0000071	rna-NM_079555.2	FLYBASE:FBtr0081900,GeneID:41007,GenBank:NM_079555.2,FLYBASE:FBgn0037590
N0.HOG0000071	rna-NM_079281.4	FLYBASE:FBtr0076375,GeneID:39109,GenBank:NM_079281.4,FLYBASE:FBgn0036009
N0.HOG0000071	rna-NM_079565.3	FLYBASE:FBtr0082028,GeneID:41119,GenBank:NM_079565.3,FLYBASE:FBgn0037685
N0.HOG0000071	rna-NM_078987.3	FLYBASE:FBtr0087918,GeneID:36350,GenBank:NM_078987.3,FLYBASE:FBgn0033727
N0.HOG0000077	rna-NM_140661.3	FLYBASE:FBtr0075321,GeneID:39872,GenBank:NM_140661.3,FLYBASE:FBgn0036659
N0.HOG0000084	rna-NM_001298843.1	None
N0.HOG0000084	rna-NM_164543.4	FLYBASE:FBtr0077563,GeneID:33572,GenBank:NM_164543.4,FLYBASE:FBgn0051954
N0.HOG0000085	rna-NM_134765.3	FLYBASE:FBtr0077876,GeneID:33341,GenBank:NM_134765.3,FLYBASE:FBgn0031351
N0.HOG0000087	rna-NM_001300596.1	None
N0.HOG0000087	rna-NM_143100.2	FLYBASE:FBtr0084809,GeneID:43035,GenBank:NM_143100.2,FLYBASE:FBgn0039297
N0.HOG0000100	rna-NM_166279.3	FLYBASE:FBtr0086677,GeneID:246581,GenBank:NM_166279.3,FLYBASE:FBgn0063491
N0.HOG0000100	rna-NM_001299641.1	None
N0.HOG0000100	rna-NM_137480.4	FLYBASE:FBtr0086670,GeneID:37107,GenBank:NM_137480.4,FLYBASE:FBgn0063498
N0.HOG0000100	rna-NM_137479.3	FLYBASE:FBtr0086669,GeneID:37106,GenBank:NM_137479.3,FLYBASE:FBgn0034335
N0.HOG0000100	rna-NM_137481.4	FLYBASE:FBtr0086671,GeneID:37108,GenBank:NM_137481.4,FLYBASE:FBgn0063497
N0.HOG0000100	rna-NM_137485.4	FLYBASE:FBtr0086675,GeneID:37112,GenBank:NM_137485.4,FLYBASE:FBgn0063493
N0.HOG0000100	rna-NM_001299642.1	None
N0.HOG0000100	rna-NM_137484.4	FLYBASE:FBtr0086674,GeneID:37111,GenBank:NM_137484.4,FLYBASE:FBgn0063494
N0.HOG0000100	rna-NM_137483.3	FLYBASE:FBtr0086673,GeneID:37110,GenBank:NM_137483.3,FLYBASE:FBgn0063495
N0.HOG0000100	rna-NM_137482.4	FLYBASE:FBtr0086672,GeneID:37109,GenBank:NM_137482.4,FLYBASE:FBgn0063496
N0.HOG0000106	rna-NM_079237.3	FLYBASE:FBtr0479896,GeneID:38841,GenBank:NM_079237.3,FLYBASE:FBgn0015033
N0.HOG0000106	rna-NM_139872.2	FLYBASE:FBtr0332140,GeneID:38840,GenBank:NM_139872.2,FLYBASE:FBgn0035790
N0.HOG0000106	rna-NM_080305.4	FLYBASE:FBtr0070388,GeneID:31193,GenBank:NM_080305.4,FLYBASE:FBgn0015036
N0.HOG0000106	rna-NM_135285.3	FLYBASE:FBtr0079471,GeneID:34036,GenBank:NM_135285.3,FLYBASE:FBgn0031925
N0.HOG0000106	rna-NM_139466.5	FLYBASE:FBtr0072967,GeneID:38311,GenBank:NM_139466.5,FLYBASE:FBgn0035344
N0.HOG0000106	rna-NM_001297877.1	FLYBASE:FBtr0345609,GeneID:31192,GenBank:NM_001297877.1,FLYBASE:FBgn0011576
N0.HOG0000106	rna-NM_001272250.2	FLYBASE:FBtr0310077,GeneID:45706,GenBank:NM_001272250.2,FLYBASE:FBgn0023541
N0.HOG0000106	rna-NM_001275079.1	FLYBASE:FBtr0332863,GeneID:40005,GenBank:NM_001275079.1,FLYBASE:FBgn0036778
N0.HOG0000106	rna-NM_057559.4	FLYBASE:FBtr0070428,GeneID:31188,GenBank:NM_057559.4,FLYBASE:FBgn0005670
N0.HOG0000106	rna-NM_001299267.1	FLYBASE:FBtr0339278,GeneID:35822,GenBank:NM_001299267.1,FLYBASE:FBgn0014469
N0.HOG0000106	rna-NM_080032.3	FLYBASE:FBtr0088746,GeneID:44632,GenBank:NM_080032.3,FLYBASE:FBgn0015034
N0.HOG0000106	rna-NM_078803.2	FLYBASE:FBtr0079925,GeneID:34291,GenBank:NM_078803.2,FLYBASE:FBgn0015035
N0.HOG0000106	rna-NM_136536.3	FLYBASE:FBtr0088760,GeneID:35821,GenBank:NM_136536.3,FLYBASE:FBgn0033292
N0.HOG0000117	rna-NM_001032157.2	FLYBASE:FBtr0091834,GeneID:3771792,GenBank:NM_001032157.2,FLYBASE:FBgn0053830
N0.HOG0000117	rna-NM_001032177.2	FLYBASE:FBtr0091846,GeneID:3771729,GenBank:NM_001032177.2,FLYBASE:FBgn0053842
N0.HOG0000120	rna-NM_001032172.2	FLYBASE:FBtr0091843,GeneID:3772032,GenBank:NM_001032172.2,FLYBASE:FBgn0053839
N0.HOG0000122	rna-NM_001300182.1	FLYBASE:FBtr0332648,GeneID:40079,GenBank:NM_001300182.1,FLYBASE:FBgn0036842
N0.HOG0000123	rna-NM_137720.4	FLYBASE:FBtr0071624,GeneID:37421,GenBank:NM_137720.4,FLYBASE:FBgn0034605
N0.HOG0000123	rna-NM_001299805.1	FLYBASE:FBtr0345505,GeneID:37590,GenBank:NM_001299805.1,FLYBASE:FBgn0040091
N0.HOG0000123	rna-NM_001104389.3	FLYBASE:FBtr0334915,GeneID:42538,GenBank:NM_001104389.3,FLYBASE:FBgn0038886
N0.HOG0000123	rna-NM_137719.4	FLYBASE:FBtr0071625,GeneID:37420,GenBank:NM_137719.4,FLYBASE:FBgn0027073
N0.HOG0000123	rna-NM_001259150.2	None
N0.HOG0000123	rna-NM_144368.3	FLYBASE:FBtr0082337,GeneID:53508,GenBank:NM_144368.3,FLYBASE:FBgn0040257
N0.HOG0000123	rna-NM_144369.3	FLYBASE:FBtr0082338,GeneID:53510,GenBank:NM_144369.3,FLYBASE:FBgn0040259
N0.HOG0000123	rna-NM_001300352.1	FLYBASE:FBtr0346101,GeneID:53502,GenBank:NM_001300352.1,FLYBASE:FBgn0040251
N0.HOG0000123	rna-NM_079590.3	FLYBASE:FBtr0082374,GeneID:41334,GenBank:NM_079590.3,FLYBASE:FBgn0026315
N0.HOG0000123	rna-NM_142897.2	FLYBASE:FBtr0084418,GeneID:42776,GenBank:NM_142897.2,FLYBASE:FBgn0039087
N0.HOG0000123	rna-NM_142896.2	FLYBASE:FBtr0084419,GeneID:42775,GenBank:NM_142896.2,FLYBASE:FBgn0039086
N0.HOG0000123	rna-NM_142895.3	FLYBASE:FBtr0084420,GeneID:42774,GenBank:NM_142895.3,FLYBASE:FBgn0039085
N0.HOG0000123	rna-NM_001275541.1	None
N0.HOG0000123	rna-NM_144362.2	FLYBASE:FBtr0082373,GeneID:53501,GenBank:NM_144362.2,FLYBASE:FBgn0040250
N0.HOG0000123	rna-NM_079589.3	FLYBASE:FBtr0082375,GeneID:41333,GenBank:NM_079589.3,FLYBASE:FBgn0026314
N0.HOG0000123	rna-NM_143609.3	FLYBASE:FBtr0085813,GeneID:43708,GenBank:NM_143609.3,FLYBASE:FBgn0051002
N0.HOG0000123	rna-NM_144365.3	FLYBASE:FBtr0308027,GeneID:53504,GenBank:NM_144365.3,FLYBASE:FBgn0040253
N0.HOG0000123	rna-NM_144366.4	FLYBASE:FBtr0082376,GeneID:53506,GenBank:NM_144366.4,FLYBASE:FBgn0040255
N0.HOG0000137	rna-NM_001169596.3	FLYBASE:FBtr0300357,GeneID:49808,GenBank:NM_001169596.3,FLYBASE:FBgn0028988
N0.HOG0000137	rna-NM_080066.3	FLYBASE:FBtr0089041,GeneID:45041,GenBank:NM_080066.3,FLYBASE:FBgn0024294
N0.HOG0000139	rna-NM_139615.3	FLYBASE:FBtr0073254,GeneID:38508,GenBank:NM_139615.3,FLYBASE:FBgn0035510
N0.HOG0000148	rna-NM_001300262.1	FLYBASE:FBtr0344315,GeneID:40741,GenBank:NM_001300262.1,FLYBASE:FBgn0037396
N0.HOG0000151	rna-NM_001169618.2	FLYBASE:FBtr0339354,GeneID:35843,GenBank:NM_001169618.2,FLYBASE:FBgn0267792
N0.HOG0000156	rna-NM_142635.2	FLYBASE:FBtr0340547,GeneID:192508,GenBank:NM_142635.2,FLYBASE:FBgn0043457
N0.HOG0000159	rna-NM_001032098.2	None
N0.HOG0000159	rna-NM_058147.4	FLYBASE:FBtr0006151,GeneID:3772432,GenBank:NM_058147.4,FLYBASE:FBgn0000056
N0.HOG0000159	rna-NM_001298848.1	FLYBASE:FBtr0343428,GeneID:34259,GenBank:NM_001298848.1,FLYBASE:FBgn0000640
N0.HOG0000159	rna-NM_144416.2	FLYBASE:FBtr0307504,GeneID:59175,GenBank:NM_144416.2,FLYBASE:FBgn0042137
N0.HOG0000159	rna-NM_140628.3	FLYBASE:FBtr0075384,GeneID:39817,GenBank:NM_140628.3,FLYBASE:FBgn0036620
N0.HOG0000159	rna-NM_079381.3	FLYBASE:FBtr0075426,GeneID:39812,GenBank:NM_079381.3,FLYBASE:FBgn0011693
N0.HOG0000166	rna-NM_169113.3	FLYBASE:FBtr0078642,GeneID:40728,GenBank:NM_169113.3,FLYBASE:FBgn0037387
N0.HOG0000178	rna-NM_001300152.1	FLYBASE:FBtr0343534,GeneID:39824,GenBank:NM_001300152.1,FLYBASE:FBgn0036627
N0.HOG0000181	rna-NM_001274820.1	None
N0.HOG0000181	rna-NM_176323.2	FLYBASE:FBtr0076004,GeneID:39393,GenBank:NM_176323.2,FLYBASE:FBgn0000594
N0.HOG0000182	rna-NM_079542.4	FLYBASE:FBtr0081546,GeneID:40906,GenBank:NM_079542.4,FLYBASE:FBgn0015572
N0.HOG0000182	rna-NM_079543.3	None
N0.HOG0000182	rna-NM_079537.4	FLYBASE:FBtr0081550,GeneID:40901,GenBank:NM_079537.4,FLYBASE:FBgn0015575
N0.HOG0000182	rna-NM_079535.3	FLYBASE:FBtr0081553,GeneID:40899,GenBank:NM_079535.3,FLYBASE:FBgn0015576
N0.HOG0000182	rna-NM_169187.3	FLYBASE:FBtr0302355,GeneID:40897,GenBank:NM_169187.3,FLYBASE:FBgn0015577
N0.HOG0000182	rna-NM_001260033.2	FLYBASE:FBtr0305910,GeneID:40896,GenBank:NM_001260033.2,FLYBASE:FBgn0015569
N0.HOG0000182	rna-NM_137834.3	FLYBASE:FBtr0071835,GeneID:37572,GenBank:NM_137834.3,FLYBASE:FBgn0034736
N0.HOG0000182	rna-NM_079545.4	FLYBASE:FBtr0081544,GeneID:40909,GenBank:NM_079545.4,FLYBASE:FBgn0015568
N0.HOG0000182	rna-NM_001275416.2	FLYBASE:FBtr0310421,GeneID:40908,GenBank:NM_001275416.2,FLYBASE:FBgn0015570
N0.HOG0000182	rna-NM_001260036.2	FLYBASE:FBtr0307274,GeneID:40905,GenBank:NM_001260036.2,FLYBASE:FBgn0261393
N0.HOG0000182	rna-NM_079538.3	FLYBASE:FBtr0081549,GeneID:40902,GenBank:NM_079538.3,FLYBASE:FBgn0015574
N0.HOG0000182	rna-NM_080523.4	FLYBASE:FBtr0071687,GeneID:117300,GenBank:NM_080523.4,FLYBASE:FBgn0000326
N0.HOG0000182	rna-NM_001300558.1	FLYBASE:FBtr0339621,GeneID:42773,GenBank:NM_001300558.1,FLYBASE:FBgn0039084
N0.HOG0000184	rna-NM_137971.3	FLYBASE:FBtr0114541,GeneID:37742,GenBank:NM_137971.3,FLYBASE:FBgn0034887
N0.HOG0000188	rna-NM_001042896.3	FLYBASE:FBtr0110942,GeneID:34784,GenBank:NM_001042896.3,FLYBASE:FBgn0028931
N0.HOG0000200	rna-NM_001369963.1	FLYBASE:FBtr0473578,GeneID:39357,GenBank:NM_001369963.1,FLYBASE:FBgn0036230
N0.HOG0000200	rna-NM_140390.4	FLYBASE:FBtr0089323,GeneID:39510,GenBank:NM_140390.4,FLYBASE:FBgn0036362
N0.HOG0000200	rna-NM_140389.3	FLYBASE:FBtr0075854,GeneID:39509,GenBank:NM_140389.3,FLYBASE:FBgn0036361
N0.HOG0000200	rna-NM_140391.4	FLYBASE:FBtr0075853,GeneID:39511,GenBank:NM_140391.4,FLYBASE:FBgn0036363
N0.HOG0000205	rna-NM_140301.2	FLYBASE:FBtr0076005,GeneID:39395,GenBank:NM_140301.2,FLYBASE:FBgn0036264
N0.HOG0000211	rna-NM_136900.2	FLYBASE:FBtr0088009,GeneID:36317,GenBank:NM_136900.2,FLYBASE:FBgn0033696
N0.HOG0000211	rna-NM_001299406.1	None
N0.HOG0000211	rna-NM_001298570.1	None
N0.HOG0000211	rna-NM_134613.3	FLYBASE:FBtr0077212,GeneID:33127,GenBank:NM_134613.3,FLYBASE:FBgn0031182
N0.HOG0000211	rna-NM_136901.2	FLYBASE:FBtr0087993,GeneID:36318,GenBank:NM_136901.2,FLYBASE:FBgn0033697
N0.HOG0000211	rna-NM_001299216.1	None
N0.HOG0000212	rna-NM_139759.2	FLYBASE:FBtr0077044,GeneID:38687,GenBank:NM_139759.2,FLYBASE:FBgn0035669
N0.HOG0000212	rna-NM_001202197.1	FLYBASE:FBtr0473621,GeneID:39959,GenBank:NM_001202197.1,FLYBASE:FBgn0023197
N0.HOG0000212	rna-NM_139760.2	FLYBASE:FBtr0077066,GeneID:38688,GenBank:NM_139760.2,FLYBASE:FBgn0035670
N0.HOG0000212	rna-NM_139768.2	FLYBASE:FBtr0077064,GeneID:38696,GenBank:NM_139768.2,FLYBASE:FBgn0035678
N0.HOG0000215	rna-NM_001032150.2	FLYBASE:FBtr0091830,GeneID:3771785,GenBank:NM_001032150.2,FLYBASE:FBgn0053826
N0.HOG0000216	rna-NM_001032165.2	FLYBASE:FBtr0091839,GeneID:3772448,GenBank:NM_001032165.2,FLYBASE:FBgn0053835
N0.HOG0000216	rna-NM_001032170.2	FLYBASE:FBtr0091842,GeneID:3772618,GenBank:NM_001032170.2,FLYBASE:FBgn0053838
N0.HOG0000216	rna-NM_001032190.2	FLYBASE:FBtr0091854,GeneID:3772148,GenBank:NM_001032190.2,FLYBASE:FBgn0053850
N0.HOG0000216	rna-NM_001032185.2	FLYBASE:FBtr0091851,GeneID:3771774,GenBank:NM_001032185.2,FLYBASE:FBgn0053847
N0.HOG0000216	rna-NM_001032160.2	FLYBASE:FBtr0091836,GeneID:3772632,GenBank:NM_001032160.2,FLYBASE:FBgn0053832
N0.HOG0000216	rna-NM_001032145.2	FLYBASE:FBtr0091827,GeneID:3771783,GenBank:NM_001032145.2,FLYBASE:FBgn0053823
N0.HOG0000216	rna-NM_001032180.2	FLYBASE:FBtr0091848,GeneID:3772565,GenBank:NM_001032180.2,FLYBASE:FBgn0053844
N0.HOG0000216	rna-NM_001032130.2	FLYBASE:FBtr0091818,GeneID:3772345,GenBank:NM_001032130.2,FLYBASE:FBgn0053814
N0.HOG0000216	rna-NM_001032210.2	FLYBASE:FBtr0091866,GeneID:3772278,GenBank:NM_001032210.2,FLYBASE:FBgn0053862
N0.HOG0000216	rna-NM_001032155.2	FLYBASE:FBtr0091833,GeneID:3772447,GenBank:NM_001032155.2,FLYBASE:FBgn0053829
N0.HOG0000216	rna-NM_001032175.2	FLYBASE:FBtr0091845,GeneID:3772360,GenBank:NM_001032175.2,FLYBASE:FBgn0053841
N0.HOG0000216	rna-NM_165382.3	FLYBASE:FBtr0085893,GeneID:318855,GenBank:NM_165382.3,FLYBASE:FBgn0051618
N0.HOG0000216	rna-NM_001032215.2	FLYBASE:FBtr0091869,GeneID:3772505,GenBank:NM_001032215.2,FLYBASE:FBgn0053865
N0.HOG0000216	rna-NM_001032140.2	FLYBASE:FBtr0091824,GeneID:3772541,GenBank:NM_001032140.2,FLYBASE:FBgn0053820
N0.HOG0000216	rna-NM_001032135.2	FLYBASE:FBtr0091821,GeneID:3772351,GenBank:NM_001032135.2,FLYBASE:FBgn0053817
N0.HOG0000216	rna-NM_001032121.2	FLYBASE:FBtr0091812,GeneID:3772282,GenBank:NM_001032121.2,FLYBASE:FBgn0053808
N0.HOG0000216	rna-NM_001032205.2	FLYBASE:FBtr0091863,GeneID:3772139,GenBank:NM_001032205.2,FLYBASE:FBgn0053859
N0.HOG0000216	rna-NM_001032200.2	FLYBASE:FBtr0091860,GeneID:3772556,GenBank:NM_001032200.2,FLYBASE:FBgn0053856
N0.HOG0000216	rna-NM_001032195.2	FLYBASE:FBtr0091857,GeneID:3772346,GenBank:NM_001032195.2,FLYBASE:FBgn0053853
N0.HOG0000221	rna-NM_001032189.2	FLYBASE:FBtr0091882,GeneID:3771891,GenBank:NM_001032189.2,FLYBASE:FBgn0053878
N0.HOG0000221	rna-NM_001032125.2	FLYBASE:FBtr0091908,GeneID:3772203,GenBank:NM_001032125.2,FLYBASE:FBgn0053904
N0.HOG0000221	rna-NM_001032144.2	FLYBASE:FBtr0091900,GeneID:3771957,GenBank:NM_001032144.2,FLYBASE:FBgn0053896
N0.HOG0000221	rna-NM_001032204.2	FLYBASE:FBtr0091876,GeneID:3771809,GenBank:NM_001032204.2,FLYBASE:FBgn0053872
N0.HOG0000221	rna-NM_001032116.2	FLYBASE:FBtr0091912,GeneID:3772099,GenBank:NM_001032116.2,FLYBASE:FBgn0053908
N0.HOG0000221	rna-NM_001032169.2	FLYBASE:FBtr0091890,GeneID:3772271,GenBank:NM_001032169.2,FLYBASE:FBgn0053886
N0.HOG0000221	rna-NM_001032194.2	FLYBASE:FBtr0091880,GeneID:3772083,GenBank:NM_001032194.2,FLYBASE:FBgn0053876
N0.HOG0000221	rna-NM_001032139.2	FLYBASE:FBtr0091902,GeneID:3772248,GenBank:NM_001032139.2,FLYBASE:FBgn0053898
N0.HOG0000221	rna-NM_001032112.2	FLYBASE:FBtr0091914,GeneID:3772299,GenBank:NM_001032112.2,FLYBASE:FBgn0053910
N0.HOG0000221	rna-NM_001032149.2	FLYBASE:FBtr0091898,GeneID:3772502,GenBank:NM_001032149.2,FLYBASE:FBgn0053894
N0.HOG0000221	rna-NM_001032134.2	FLYBASE:FBtr0091904,GeneID:3772094,GenBank:NM_001032134.2,FLYBASE:FBgn0053900
N0.HOG0000221	rna-NM_001032129.2	FLYBASE:FBtr0091906,GeneID:3772058,GenBank:NM_001032129.2,FLYBASE:FBgn0053902
N0.HOG0000221	rna-NM_001032154.2	FLYBASE:FBtr0091896,GeneID:3772166,GenBank:NM_001032154.2,FLYBASE:FBgn0053892
N0.HOG0000221	rna-NM_001032199.2	FLYBASE:FBtr0091878,GeneID:3772264,GenBank:NM_001032199.2,FLYBASE:FBgn0053874
N0.HOG0000221	rna-NM_165381.4	FLYBASE:FBtr0085927,GeneID:326273,GenBank:NM_165381.4,FLYBASE:FBgn0061209
N0.HOG0000221	rna-NM_001032179.2	FLYBASE:FBtr0091886,GeneID:3772276,GenBank:NM_001032179.2,FLYBASE:FBgn0053882
N0.HOG0000221	rna-NM_001032120.2	FLYBASE:FBtr0091910,GeneID:3772013,GenBank:NM_001032120.2,FLYBASE:FBgn0053906
N0.HOG0000221	rna-NM_001032174.2	FLYBASE:FBtr0091888,GeneID:3772575,GenBank:NM_001032174.2,FLYBASE:FBgn0053884
