Orthogroup_ID	GF_ClustertGene_Group	Cluster_function	Gene_Name	D_melanogaster	I_luminosus	P_pyralis	C_septempunctata	A_verrucosus	T_castaneum	Z_morio	T_molitor	D_ponderosae	R_ferrugineus	A_obtectus	B_siliquastri	C_chinensis	C_maculatus	max_delta_GF	transcript_ID_native	Flybase	Flybase_summary
N0.HOG0000044	Gene Group 24	Cuticular protein	Cuticular protein 76Bb(Cpr76Bb)	2	1	2	1	2	1	1	2	1	1	2	1	1	3	2	rna-NM_140864.2	FBgn0036879	None
N0.HOG0000045	Gene Group 34	uncharacterized	Pinkman(pkm)	2	37	22	17	28	19	29	11	14	12	14	16	15	18	35	rna-NM_206689.2	FBgn0030317	None
N0.HOG0000045	Gene Group 34	uncharacterized	uncharacterized protein(CG13813)	2	37	22	17	28	19	29	11	14	12	14	16	15	18	35	rna-NM_140938.3	FBgn0036956	None
N0.HOG0000049	None	None	None	1	45	18	24	22	7	15	11	2	1	62	9	9	18	61	rna-NM_057859.4	FBgn0017414	None
N0.HOG0000056	Gene Group 7	odorant binding	Odorant-binding protein 56e(Obp56e)	3	11	4	4	46	19	33	44	7	24	7	9	6	6	43	rna-NM_137601.4	FBgn0034471	None
N0.HOG0000056	Gene Group 7	odorant binding	Odorant-binding protein 56d(Obp56d)	3	11	4	4	46	19	33	44	7	24	7	9	6	6	43	rna-NM_001299690.1	FBgn0034470	None
N0.HOG0000056	Gene Group 7	odorant binding	Odorant-binding protein 56a(Obp56a)	3	11	4	4	46	19	33	44	7	24	7	9	6	6	43	rna-NM_137598.3	FBgn0034468	None
N0.HOG0000059	Gene Group 1	Cytochrome P450	Cytochrome P450 9f3(Cyp9f3)	6	57	32	7	10	20	3	26	9	10	7	1	7	6	56	rna-NM_001363930.1	FBgn0038034	None
N0.HOG0000059	Gene Group 1	Cytochrome P450	Cytochrome P450 9f2(Cyp9f2)	6	57	32	7	10	20	3	26	9	10	7	1	7	6	56	rna-NM_141932.3	FBgn0038037	None
N0.HOG0000059	Gene Group 1	Cytochrome P450	Cytochrome P450 9f2(Cyp9f2)	6	57	32	7	10	20	3	26	9	10	7	1	7	6	56	rna-NM_141932.3	FBgn0038037	None
N0.HOG0000059	Gene Group 1	Cytochrome P450	Cytochrome P450 9f3(Cyp9f3)	6	57	32	7	10	20	3	26	9	10	7	1	7	6	56	rna-NM_001363930.1	FBgn0038034	None
N0.HOG0000059	Gene Group 1	Cytochrome P450	Cytochrome P450 9h1(Cyp9h1)	6	57	32	7	10	20	3	26	9	10	7	1	7	6	56	rna-NM_136976.2	FBgn0033775	None
N0.HOG0000059	Gene Group 1	Cytochrome P450	Cytochrome P450 9c1(Cyp9c1)	6	57	32	7	10	20	3	26	9	10	7	1	7	6	56	rna-NM_079126.3	FBgn0015040	None
N0.HOG0000059	Gene Group 1	Cytochrome P450	Cytochrome P450 9b2(Cyp9b2)	6	57	32	7	10	20	3	26	9	10	7	1	7	6	56	rna-NM_078922.4	FBgn0015039	None
N0.HOG0000059	Gene Group 1	Cytochrome P450	Cytochrome P450 9b1(Cyp9b1)	6	57	32	7	10	20	3	26	9	10	7	1	7	6	56	rna-NM_078921.4	FBgn0015038	None
N0.HOG0000067	Gene Group 24,Gene Group 26	Cuticular protein,glycolysis and early development (and other)	Cuticular protein 30F(Cpr30F)	1	1	1	11	3	3	5	3	3	6	2	2	4	4	10	rna-NM_164879.3	FBgn0051876	None
N0.HOG0000068	None	None	None	1	43	39	21	1	4	4	2	1	2	16	4	5	48	47	rna-NM_168749.2	FBgn0052187	None
N0.HOG0000069	None	None	None	1	19	48	8	11	2	18	2	2	1	39	7	6	19	47	rna-NM_143799.3	FBgn0026148	None
N0.HOG0000071	None	None	None	1	7	3	1	11	2	13	2	1	1	7	2	16	4	15	rna-NM_001299601.1	FBgn0028953	None
N0.HOG0000072	None	None	None	1	21	1	10	8	1	5	1	1	1	39	1	15	11	38	rna-NM_141770.3	FBgn0037844	None
N0.HOG0000073	None	None	None	1	21	10	5	14	16	4	15	16	18	15	15	13	18	20	rna-NM_140661.3	FBgn0036659	None
N0.HOG0000078	Gene Group 26	glycolysis and early development (and other)	uncharacterized protein(CG8757)	9	2	5	7	34	17	17	41	9	7	5	7	6	7	39	rna-NM_140407.2	FBgn0036380	None
N0.HOG0000078	Gene Group 26	glycolysis and early development (and other)	uncharacterized protein(CG9150)	9	2	5	7	34	17	17	41	9	7	5	7	6	7	39	rna-NM_135147.3	FBgn0031775	None
N0.HOG0000078	Gene Group 26	glycolysis and early development (and other)	uncharacterized protein(CG3301)	9	2	5	7	34	17	17	41	9	7	5	7	6	7	39	rna-NM_169954.2	FBgn0038878	None
N0.HOG0000078	Gene Group 26	glycolysis and early development (and other)	uncharacterized protein(CG9360)	9	2	5	7	34	17	17	41	9	7	5	7	6	7	39	rna-NM_132518.3	FBgn0030332	None
N0.HOG0000078	Gene Group 26	glycolysis and early development (and other)	uncharacterized protein(CG40486)	9	2	5	7	34	17	17	41	9	7	5	7	6	7	39	rna-NM_001042846.3	FBgn0263830	None
N0.HOG0000078	Gene Group 26	glycolysis and early development (and other)	uncharacterized protein(CG40485)	9	2	5	7	34	17	17	41	9	7	5	7	6	7	39	rna-NM_001042848.2	FBgn0069973	None
N0.HOG0000078	Gene Group 26	glycolysis and early development (and other)	Antennal dehydrogenase(Antdh)	9	2	5	7	34	17	17	41	9	7	5	7	6	7	39	rna-NM_132467.3	FBgn0026268	None
N0.HOG0000078	Gene Group 26	glycolysis and early development (and other)	uncharacterized protein(CG10962)	9	2	5	7	34	17	17	41	9	7	5	7	6	7	39	rna-NM_176714.3	FBgn0030073	None
N0.HOG0000078	None	None	None	9	2	5	7	34	17	17	41	9	7	5	7	6	7	39	rna-NM_001275902.1	FBgn0038946	None
N0.HOG0000082	Gene Group 2	protein breakdown (proteolysis)	uncharacterized protein(CG17242)	18	1	1	1	1	1	1	2	1	1	1	1	1	1	17	rna-NM_001272992.2	FBgn0250841	None
N0.HOG0000082	Gene Group 2	protein breakdown (proteolysis)	uncharacterized protein(CG17239)	18	1	1	1	1	1	1	2	1	1	1	1	1	1	17	rna-NM_001272991.1	FBgn0042186	None
N0.HOG0000082	Gene Group 2	protein breakdown (proteolysis)	Serine protease 12(Ser12)	18	1	1	1	1	1	1	2	1	1	1	1	1	1	17	rna-NM_078732.2	FBgn0011832	None
N0.HOG0000082	Gene Group 2	protein breakdown (proteolysis)	iotaTrypsin(iotaTry)	18	1	1	1	1	1	1	2	1	1	1	1	1	1	17	rna-NM_078971.4	FBgn0015001	None
