Orthogroup_ID	transcript_ID_native	Flybase	Flybase_summary	CAFE_p-value	I_luminosus_num_GF_members	A_verrucosus_num_GF_members	P_pyralis_num_GF_members	D_ponderosae_num_GF_members	B_siliquastri_num_GF_members	A_obtectus_num_GF_members	C_chinensis_num_GF_members	Z_morio_num_GF_members	D_melanogaster_num_GF_members	R_ferrugineus_num_GF_members	C_septempunctata_num_GF_members	T_castaneum_num_GF_members	C_maculatus_num_GF_members	T_molitor_num_GF_members	max_delta_GF
N0.HOG0000014	rna-NM_078904.2	FBgn0000473	None	0.0	60	29	17	3	17	9	7	40	12	22	7	27	11	45	57
N0.HOG0000014	rna-NM_079024.3	FBgn0013771	The gene Cytochrome P450 6a9 is referred to in FlyBase by the symbol Dmel\Cyp6a9 (CG10246, FBgn0013771). It is a protein_coding_gene from Dmel. It has one annotated transcript and one polypeptide. Gene sequence location is 2R:14879356..14881372. Its molecular function is described by: oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen; monooxygenase activity; iron ion binding; heme binding. The biological processes in which it is involved are not known. 5 alleles are reported. No phenotypic data is available. The phenotypic class of alleles includes: viable. Summary of modENCODE Temporal Expression Profile:  Temporal profile ranges from a peak of moderate expression to a trough of no expression detected.  Peak expression observed within 18-24 hour embryonic stages, at stages throughout the larval period, during late pupal stages, in stages of adults of both sexes.  		0.0	60	29	17	3	17	9	7	40	12	22	7	27	11	45	57
N0.HOG0000014	rna-NM_137159.4	FBgn0288232	The gene Cytochrome P450 6a21 is referred to in FlyBase by the symbol Dmel\Cyp6a21 (CG10247, FBgn0288232). It is a protein_coding_gene from Dmel. It has one annotated transcript and one polypeptide. Gene sequence location is 2R:14885264..14886947. Its molecular function is described by: iron ion binding; heme binding; monooxygenase activity; oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen. The biological processes in which it is involved are not known. 4 alleles are reported. No phenotypic data is available. The phenotypic class of alleles includes: viable.	0.0	60	29	17	3	17	9	7	40	12	22	7	27	11	45	57
N0.HOG0000014	rna-NM_001299502.1	FBgn0013773	The gene Cytochrome P450 6a22 is referred to in FlyBase by the symbol Dmel\Cyp6a22 (CG10240, FBgn0013773). It is a protein_coding_gene from Dmel. It has 3 annotated transcripts and 3 polypeptides (1 unique). Gene sequence location is 2R:14871366..14873705. Its molecular function is described by: oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen; monooxygenase activity; iron ion binding; heme binding. The biological processes in which it is involved are not known. 5 alleles are reported. No phenotypic data is available. The phenotypic classes of alleles include: partially lethal; viable. Summary of modENCODE Temporal Expression Profile:  Temporal profile ranges from a peak of high expression to a trough of very low expression.  Peak expression observed within 00-06 hour embryonic stages.  		0.0	60	29	17	3	17	9	7	40	12	22	7	27	11	45	57
N0.HOG0000014	rna-NM_001299221.1	FBgn0033121	The gene Cytochrome P450 6u1 is referred to in FlyBase by the symbol Dmel\Cyp6u1 (CG3567, FBgn0033121). It is a protein_coding_gene from Dmel. It has 3 annotated transcripts and 3 polypeptides (1 unique). Gene sequence location is 2R:6971996..6975026. Its molecular function is described by: heme binding; iron ion binding; monooxygenase activity; oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen. The biological processes in which it is involved are not known. 4 alleles are reported. No phenotypic data is available. The phenotypic class of alleles includes: viable. Summary of modENCODE Temporal Expression Profile:  Temporal profile ranges from a peak of moderately high expression to a trough of moderate expression.  Peak expression observed within 00-06 and 18-24 hour embryonic stages, during early larval stages, during late pupal stages, in adult female stages.  		0.0	60	29	17	3	17	9	7	40	12	22	7	27	11	45	57
N0.HOG0000014	rna-NM_001299506.1	FBgn0033982	The gene Cytochrome P450 317a1 is referred to in FlyBase by the symbol Dmel\Cyp317a1 (CG17453, FBgn0033982). It is a protein_coding_gene from Dmel. It has 3 annotated transcripts and 3 polypeptides (1 unique). Gene sequence location is 2R:14898312..14903095. Its molecular function is described by: oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen; monooxygenase activity; iron ion binding; heme binding. The biological processes in which it is involved are not known. 7 alleles are reported. No phenotypic data is available. The phenotypic class of alleles includes: viable. Summary of modENCODE Temporal Expression Profile:  Temporal profile ranges from a peak of moderate expression to a trough of very low expression.  Peak expression observed within 12-24 hour embryonic stages, at stages throughout the larval period, during late pupal stages, in stages of adults of both sexes.  		0.0	60	29	17	3	17	9	7	40	12	22	7	27	11	45	57
N0.HOG0000016	rna-NM_143799.3	FBgn0026148	This gene is referred to in FlyBase by the symbol Dmel\CG12253 (FBgn0026148). It is a protein_coding_gene from Dmel. It has one annotated transcript and one polypeptide. Gene sequence location is 2L:10987806..10989241. Its molecular function is unknown. The biological processes in which it is involved are not known. 6 alleles are reported. No phenotypic data is available. The phenotypic class of alleles includes: viable. Summary of modENCODE Temporal Expression Profile:  Temporal profile ranges from a peak of moderately high expression to a trough of very low expression.  Peak expression observed within 00-06 hour embryonic stages.  		0.0	4	13	46	6	4	57	30	55	1	1	14	1	44	12	56
N0.HOG0000017	rna-NM_136949.2	FBgn0033750	This gene is referred to in FlyBase by the symbol Dmel\CG13151 (FBgn0033750). It is a protein_coding_gene from Dmel. It has one annotated transcript and one polypeptide. Gene sequence location is 2R:12515375..12517284. Its molecular function is unknown. The biological processes in which it is involved are not known. 5 alleles are reported. No phenotypic data is available. The phenotypic class of alleles includes: viable. Summary of modENCODE Temporal Expression Profile:  Temporal profile ranges from a peak of moderate expression to a trough of low expression.  Peak expression observed within 00-18 hour embryonic stages, during late larval stages, at stages throughout the pupal period.  		0.0	43	1	24	7	1	49	114	4	1	3	4	1	31	1	113
N0.HOG0000020	rna-NM_143422.3	FBgn0039645	This gene is referred to in FlyBase by the symbol Dmel\CG11898 (FBgn0039645). It is a protein_coding_gene from Dmel. It has one annotated transcript and one polypeptide. Gene sequence location is 3R:29165643..29171508. Its molecular function is described by: ATPase-coupled transmembrane transporter activity; ABC-type transporter activity; ATP binding; ATP hydrolysis activity. It is involved in the biological process described with: transmembrane transport. 11 alleles are reported. No phenotypic data is available. The phenotypic classes of alleles include: viable; fertile. Summary of modENCODE Temporal Expression Profile:  Temporal profile ranges from a peak of low expression to a trough of no expression detected.  Peak expression observed within 18-24 hour embryonic stages, during late larval stages, in stages of adults of both sexes.  		0.0	13	34	10	9	6	7	9	25	3	12	6	14	11	23	31
N0.HOG0000020	rna-NM_137727.3	FBgn0034612	This gene is referred to in FlyBase by the symbol Dmel\CG10505 (FBgn0034612). It is a protein_coding_gene from Dmel. It has one annotated transcript and one polypeptide. Gene sequence location is 2R:21285248..21290343. Its molecular function is described by: ABC-type transporter activity; ATPase-coupled transmembrane transporter activity; ATP binding; ATP hydrolysis activity. It is involved in the biological process described with: response to zinc ion; response to copper ion; transmembrane transport. 10 alleles are reported. The phenotype of these alleles manifest in: adult midgut epithelium. The phenotypic classes of alleles include: increased occurrence of cell division; viable. Summary of modENCODE Temporal Expression Profile:  Temporal profile ranges from a peak of moderately high expression to a trough of extremely low expression.  Peak expression observed during late larval stages.  		0.0	13	34	10	9	6	7	9	25	3	12	6	14	11	23	31
N0.HOG0000020	rna-NM_143421.3	FBgn0039644	The gene red dog mine is referred to in FlyBase by the symbol Dmel\rdog (CG11897, FBgn0039644). It is a protein_coding_gene from Dmel. It has 2 annotated transcripts and 2 polypeptides (1 unique). Gene sequence location is 3R:29158122..29164966. Its molecular function is described by: ATP hydrolysis activity; ATP binding; ATPase-coupled transmembrane transporter activity; ABC-type transporter activity. It is involved in the biological process described with: transmembrane transport. 17 alleles are reported. No phenotypic data is available. The phenotypic class of alleles includes: viable. Summary of modENCODE Temporal Expression Profile:  Temporal profile ranges from a peak of very high expression to a trough of low expression.  Peak expression observed within 00-06 hour embryonic stages, in adult female stages.  		0.0	13	34	10	9	6	7	9	25	3	12	6	14	11	23	31
N0.HOG0000023	rna-NM_176714.3	FBgn0030073	This gene is referred to in FlyBase by the symbol Dmel\CG10962 (FBgn0030073). It is a protein_coding_gene from Dmel. It has one annotated transcript and one polypeptide. Gene sequence location is X:8972908..8974255. Its molecular function is described by: 3-beta-hydroxysteroid 3-dehydrogenase (NADP+) activity; 17-beta-hydroxysteroid dehydrogenase (NADP+) activity; estradiol 17-beta-dehydrogenase [NAD(P)+] activity. The biological processes in which it is involved are not known. 4 alleles are reported. No phenotypic data is available. The phenotypic classes of alleles include: abnormal locomotor behavior; viable. Summary of modENCODE Temporal Expression Profile:  Temporal profile ranges from a peak of very high expression to a trough of low expression.  Peak expression observed during early pupal stages.  		0.0	38	31	1	12	11	6	2	69	8	8	5	14	6	36	68
N0.HOG0000023	rna-NM_001042846.3	FBgn0263830	This gene is referred to in FlyBase by the symbol Dmel\CG40486 (FBgn0263830). It is a protein_coding_gene from Dmel. It has 2 annotated transcripts and 2 polypeptides (1 unique). Gene sequence location is X:22958856..22960091. Its molecular function is described by: estradiol 17-beta-dehydrogenase [NAD(P)+] activity; 17-beta-hydroxysteroid dehydrogenase (NADP+) activity; 3-beta-hydroxysteroid 3-dehydrogenase (NADP+) activity. The biological processes in which it is involved are not known. 3 alleles are reported. No phenotypic data is available. The phenotypic class of alleles includes: viable.	0.0	38	31	1	12	11	6	2	69	8	8	5	14	6	36	68
N0.HOG0000023	rna-NM_001042848.2	FBgn0069973	This gene is referred to in FlyBase by the symbol Dmel\CG40485 (FBgn0069973). It is a protein_coding_gene from Dmel. It has 3 annotated transcripts and 3 polypeptides (2 unique). Gene sequence location is X:22960609..22962360. Its molecular function is described by: 3-beta-hydroxysteroid 3-dehydrogenase (NADP+) activity; 17-beta-hydroxysteroid dehydrogenase (NADP+) activity; estradiol 17-beta-dehydrogenase [NAD(P)+] activity. The biological processes in which it is involved are not known. 6 alleles are reported. The phenotypes of these alleles manifest in: larval neuroblast; ganglion mother cell. The phenotypic classes of alleles include: some die during pupal stage; lethal; lethal - all die before end of pupal stage; lethal - all die during P-stage; abnormal neuroanatomy. Summary of modENCODE Temporal Expression Profile:  Temporal profile ranges from a peak of moderately high expression to a trough of extremely low expression.  Peak expression observed in adults stages of both sexes.  		0.0	38	31	1	12	11	6	2	69	8	8	5	14	6	36	68
N0.HOG0000023	rna-NM_132467.3	FBgn0026268	The gene Antennal dehydrogenase is referred to in FlyBase by the symbol Dmel\Antdh (CG1386, FBgn0026268). It is a protein_coding_gene from Dmel. It has one annotated transcript and one polypeptide. Gene sequence location is X:11168030..11169058. Its molecular function is described by: estradiol 17-beta-dehydrogenase [NAD(P)+] activity; 17-beta-hydroxysteroid dehydrogenase (NADP+) activity; oxidoreductase activity; 3-beta-hydroxysteroid 3-dehydrogenase (NADP+) activity. The biological processes in which it is involved are not known. 2 alleles are reported. No phenotypic data is available. The phenotypic classes of alleles include: some die during pupal stage; viable; partially lethal. Summary of modENCODE Temporal Expression Profile:  Temporal profile ranges from a peak of moderately high expression to a trough of no expression detected.  Peak expression observed during late pupal stages, in stages of adults of both sexes.  		0.0	38	31	1	12	11	6	2	69	8	8	5	14	6	36	68
N0.HOG0000023	rna-NM_132518.3	FBgn0030332	This gene is referred to in FlyBase by the symbol Dmel\CG9360 (FBgn0030332). It is a protein_coding_gene from Dmel. It has one annotated transcript and one polypeptide. Gene sequence location is X:11763474..11764590. Its molecular function is described by: 17-beta-hydroxysteroid dehydrogenase (NADP+) activity; estradiol 17-beta-dehydrogenase [NAD(P)+] activity; 3-beta-hydroxysteroid 3-dehydrogenase (NADP+) activity. The biological processes in which it is involved are not known. One allele is reported. No phenotypic data is available. The phenotypic class of allele includes: viable. Summary of modENCODE Temporal Expression Profile:  Temporal profile ranges from a peak of high expression to a trough of very low expression.  Peak expression observed within 18-24 hour embryonic stages, during early larval stages, during late pupal stages, in stages of adults of both sexes.  		0.0	38	31	1	12	11	6	2	69	8	8	5	14	6	36	68
N0.HOG0000023	rna-NM_169954.2	FBgn0038878	This gene is referred to in FlyBase by the symbol Dmel\CG3301 (FBgn0038878). It is a protein_coding_gene from Dmel. It has 3 annotated transcripts and 3 polypeptides (1 unique). Gene sequence location is 3R:21274243..21276249. Its molecular function is described by: 3-beta-hydroxysteroid 3-dehydrogenase (NADP+) activity; estradiol 17-beta-dehydrogenase [NAD(P)+] activity; 17-beta-hydroxysteroid dehydrogenase (NADP+) activity. The biological processes in which it is involved are not known. 6 alleles are reported. No phenotypic data is available. The phenotypic classes of alleles include: fertile; viable. Summary of modENCODE Temporal Expression Profile:  Temporal profile ranges from a peak of moderately high expression to a trough of extremely low expression.  Peak expression observed within 18-24 hour embryonic stages, during early larval stages, during late pupal stages, in stages of adults of both sexes.  		0.0	38	31	1	12	11	6	2	69	8	8	5	14	6	36	68
N0.HOG0000023	rna-NM_140407.2	FBgn0036380	This gene is referred to in FlyBase by the symbol Dmel\CG8757 (FBgn0036380). It is a protein_coding_gene from Dmel. It has one annotated transcript and one polypeptide. Gene sequence location is 3L:13840197..13842240. Its molecular function is described by: 3-beta-hydroxysteroid 3-dehydrogenase (NADP+) activity; oxidoreductase activity; 17-beta-hydroxysteroid dehydrogenase (NADP+) activity; estradiol 17-beta-dehydrogenase [NAD(P)+] activity. The biological processes in which it is involved are not known. 3 alleles are reported. No phenotypic data is available. The phenotypic class of alleles includes: viable. Summary of modENCODE Temporal Expression Profile:  Temporal profile ranges from a peak of high expression to a trough of no expression detected.  Peak expression observed during late pupal stages.  		0.0	38	31	1	12	11	6	2	69	8	8	5	14	6	36	68
N0.HOG0000023	rna-NM_135147.3	FBgn0031775	This gene is referred to in FlyBase by the symbol Dmel\CG9150 (FBgn0031775). It is a protein_coding_gene from Dmel. It has one annotated transcript and one polypeptide. Gene sequence location is 2L:6067668..6068594. Its molecular function is described by: 3-beta-hydroxysteroid 3-dehydrogenase (NADP+) activity; oxidoreductase activity; estradiol 17-beta-dehydrogenase [NAD(P)+] activity; 17-beta-hydroxysteroid dehydrogenase (NADP+) activity. The biological processes in which it is involved are not known. 5 alleles are reported. No phenotypic data is available. The phenotypic class of alleles includes: viable. Summary of modENCODE Temporal Expression Profile:  Temporal profile ranges from a peak of high expression to a trough of very low expression.  Peak expression observed during late pupal stages.  		0.0	38	31	1	12	11	6	2	69	8	8	5	14	6	36	68
N0.HOG0000035	rna-NM_136976.2	FBgn0033775	The gene Cytochrome P450 9h1 is referred to in FlyBase by the symbol Dmel\Cyp9h1 (CG17577, FBgn0033775). It is a protein_coding_gene from Dmel. It has one annotated transcript and one polypeptide. Gene sequence location is 2R:12840813..12842558. Its molecular function is described by: heme binding; iron ion binding; monooxygenase activity; oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen. The biological processes in which it is involved are not known. 6 alleles are reported. No phenotypic data is available. The phenotypic class of alleles includes: viable. Summary of modENCODE Temporal Expression Profile:  Temporal profile ranges from a peak of moderately high expression to a trough of no expression detected.  Peak expression observed during early pupal stages.  		0.0	44	24	25	11	3	7	6	48	6	6	7	18	5	23	45
N0.HOG0000035	rna-NM_079126.3	FBgn0015040	The gene Cytochrome P450 9c1 is referred to in FlyBase by the symbol Dmel\Cyp9c1 (CG3616, FBgn0015040). It is a protein_coding_gene from Dmel. It has one annotated transcript and one polypeptide. Gene sequence location is 2R:24631063..24632923. Its molecular function is described by: oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen; monooxygenase activity; iron ion binding; heme binding. The biological processes in which it is involved are not known. 4 alleles are reported. The phenotype of these alleles manifest in: wing. The phenotypic class of alleles includes: abnormal size. Summary of modENCODE Temporal Expression Profile:  Temporal profile ranges from a peak of high expression to a trough of very low expression.  Peak expression observed at stages throughout the larval period, at stages throughout the pupal period.  		0.0	44	24	25	11	3	7	6	48	6	6	7	18	5	23	45
N0.HOG0000035	rna-NM_078922.4	FBgn0015039	The gene Cytochrome P450 9b2 is referred to in FlyBase by the symbol Dmel\Cyp9b2 (CG4486, FBgn0015039). It is a protein_coding_gene from Dmel. It has one annotated transcript and one polypeptide. Gene sequence location is 2R:7130277..7132139. Its molecular function is described by: heme binding; iron ion binding; monooxygenase activity; oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen. The biological processes in which it is involved are not known. 7 alleles are reported. No phenotypic data is available. No phenotypic class data is available. Summary of modENCODE Temporal Expression Profile:  Temporal profile ranges from a peak of very high expression to a trough of very low expression.  Peak expression observed during late larval stages.  		0.0	44	24	25	11	3	7	6	48	6	6	7	18	5	23	45
N0.HOG0000035	rna-NM_078921.4	FBgn0015038	The gene Cytochrome P450 9b1 is referred to in FlyBase by the symbol Dmel\Cyp9b1 (CG4485, FBgn0015038). It is a protein_coding_gene from Dmel. It has one annotated transcript and one polypeptide. Gene sequence location is 2R:7127838..7129808. Its molecular function is described by: monooxygenase activity; oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen; iron ion binding; heme binding. The biological processes in which it is involved are not known. 7 alleles are reported. No phenotypic data is available. The phenotypic class of alleles includes: viable. Summary of modENCODE Temporal Expression Profile:  Temporal profile ranges from a peak of low expression to a trough of no expression detected.  Peak expression observed within 18-24 hour embryonic stages, at stages throughout the larval period, at stages throughout the pupal period, in stages of adults of both sexes.  		0.0	44	24	25	11	3	7	6	48	6	6	7	18	5	23	45
N0.HOG0000035	rna-NM_141932.3	FBgn0038037	The gene Cytochrome P450 9f2 is referred to in FlyBase by the symbol Dmel\Cyp9f2 (CG11466, FBgn0038037). It is a protein_coding_gene from Dmel. It has one annotated transcript and one polypeptide. Gene sequence location is 3R:12403340..12406028. Its molecular function is described by: monooxygenase activity; oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen; iron ion binding; heme binding. It is involved in the biological process described with: wing disc development. 8 alleles are reported. The phenotype of these alleles manifest in: wing margin. The phenotypic classes of alleles include: fertile; viable. Summary of modENCODE Temporal Expression Profile:  Temporal profile ranges from a peak of high expression to a trough of very low expression.  Peak expression observed during late larval stages, in adult male stages.  		0.0	44	24	25	11	3	7	6	48	6	6	7	18	5	23	45
N0.HOG0000035	rna-NM_001363930.1	FBgn0038034	The gene Cytochrome P450 9f3 is referred to in FlyBase by the symbol Dmel\Cyp9f3 (CG17875, FBgn0038034). It is a protein_coding_gene from Dmel. It has one annotated transcript and one polypeptide. Gene sequence location is 3R:12396007..12398929. Its molecular function is described by: iron ion binding. The biological processes in which it is involved are not known. No alleles are reported. Summary of modENCODE Temporal Expression Profile:  Temporal profile ranges from a peak of moderate expression to a trough of very low expression.  Peak expression observed within 18-24 hour embryonic stages, during late larval stages, at stages throughout the pupal period, in adult male stages.  		0.0	44	24	25	11	3	7	6	48	6	6	7	18	5	23	45
N0.HOG0000037	rna-NM_139889.2	FBgn0035807	This gene is referred to in FlyBase by the symbol Dmel\CG7492 (FBgn0035807). It is a protein_coding_gene from Dmel. It has one annotated transcript and one polypeptide. Gene sequence location is 3L:7651866..7654752. Its molecular function is unknown. The biological processes in which it is involved are not known. 6 alleles are reported. No phenotypic data is available. The phenotypic classes of alleles include: viable; fertile. Summary of modENCODE Temporal Expression Profile:  Temporal profile ranges from a peak of moderately high expression to a trough of moderate expression.  Peak expression observed within 00-18 hour embryonic stages, during late larval stages, at stages throughout the pupal period, in stages of adults of both sexes.  		0.0	25	1	39	2	14	84	36	4	1	2	9	1	9	1	83
