Orthogroup_ID	GF_ClustertGene_Group	Cluster_function	repeat_correlation_correlation_coeff	repeat_correlation_p-value	repeat_correlation_sig_after_multiple_testing	GS_correlation_correlation_coeff	GS_correlation_p-value	GS_correlation_sig_after_multiple_testing	Gene_Name	D_melanogaster	I_luminosus	P_pyralis	C_septempunctata	A_verrucosus	T_castaneum	Z_morio	T_molitor	D_ponderosae	R_ferrugineus	A_obtectus	B_siliquastri	C_chinensis	C_maculatus	max_delta_GF	transcript_ID_native	Flybase	Flybase_summary
N0.HOG0000067	Gene Group 24,Gene Group 26	Cuticular protein,glycolysis and early development (and other)	0.2451842639184212	0.4424376657583864	n	0.08056054385890982	0.80345110920634	n	Cuticular protein 30F(Cpr30F)	1	1	1	11	3	3	5	3	3	6	2	2	4	4	10	rna-NM_164879.3	FBgn0051876	The gene Cuticular protein 30F is referred to in FlyBase by the symbol Dmel\Cpr30F (CG31876, FBgn0051876). It is a protein_coding_gene from Dmel. It has one annotated transcript and one polypeptide. Gene sequence location is 2L:9932272..9933163. Its molecular function is described by: structural constituent of chitin-based larval cuticle. It is involved in the biological process described with: chitin-based cuticle development. 4 alleles are reported. The phenotypes of these alleles manifest in: ganglion mother cell; trichogen cell; mesonotum; larval neuroblast. The phenotypic classes of alleles include: increased mortality during development; phenotype; increased mortality; lethal. Summary of modENCODE Temporal Expression Profile:  Temporal profile ranges from a peak of extremely high expression to a trough of no expression detected.  Peak expression observed during late pupal stages.
N0.HOG0000068	None	None	0.6433566433566434	0.024003191200713644	n	0.6923076923076924	0.012593030496094107	n	None	1	43	39	21	1	4	4	2	1	2	16	4	5	48	47	rna-NM_168749.2	FBgn0052187	This gene is referred to in FlyBase by the symbol Dmel\CG32187 (FBgn0052187). It is a protein_coding_gene from Dmel. It has one annotated transcript and one polypeptide. Gene sequence location is 3L:17804916..17806365. Its molecular function is unknown. The biological processes in which it is involved are not known. 3 alleles are reported. No phenotypic data is available. The phenotypic classes of alleles include: viable; partially lethal - majority die; some die during pupal stage. Summary of modENCODE Temporal Expression Profile:  Temporal profile ranges from a peak of moderate expression to a trough of extremely low expression.  Peak expression observed within 06-18 hour embryonic stages, during early pupal stages.
N0.HOG0000069	None	None	0.43356643356643365	0.1591057694121953	n	0.5034965034965035	0.09515736659412469	n	None	1	19	48	8	11	2	18	2	2	1	39	7	6	19	47	rna-NM_143799.3	FBgn0026148	This gene is referred to in FlyBase by the symbol Dmel\CG12253 (FBgn0026148). It is a protein_coding_gene from Dmel. It has one annotated transcript and one polypeptide. Gene sequence location is 2L:10987806..10989241. Its molecular function is unknown. The biological processes in which it is involved are not known. 6 alleles are reported. No phenotypic data is available. The phenotypic class of alleles includes: viable. Summary of modENCODE Temporal Expression Profile:  Temporal profile ranges from a peak of moderately high expression to a trough of very low expression.  Peak expression observed within 00-06 hour embryonic stages.
N0.HOG0000071	None	None	0.17482517482517487	0.5868236643627043	n	0.31468531468531474	0.31913878550330455	n	None	1	7	3	1	11	2	13	2	1	1	7	2	16	4	15	rna-NM_001299601.1	FBgn0028953	This gene is referred to in FlyBase by the symbol Dmel\CG14478 (FBgn0028953). It is a protein_coding_gene from Dmel. It has 4 annotated transcripts and 4 polypeptides (1 unique). Gene sequence location is 2R:17457663..17465795. Its molecular function is described by: nucleic acid binding. The biological processes in which it is involved are not known. 19 alleles are reported. No phenotypic data is available. The phenotypic classes of alleles include: viable; abnormal behavior. Summary of modENCODE Temporal Expression Profile:  Temporal profile ranges from a peak of very high expression to a trough of moderate expression.  Peak expression observed within 00-12 hour embryonic stages.
N0.HOG0000072	None	None	0.5244755244755246	0.08001937592027475	n	0.7482517482517484	0.005124081698753058	n	None	1	21	1	10	8	1	5	1	1	1	39	1	15	11	38	rna-NM_141770.3	FBgn0037844	This gene is referred to in FlyBase by the symbol Dmel\CG4570 (FBgn0037844). It is a protein_coding_gene from Dmel. It has one annotated transcript and one polypeptide. Gene sequence location is 3R:10856807..10858066. Its molecular function is described by: nucleic acid binding. The biological processes in which it is involved are not known. 10 alleles are reported. No phenotypic data is available. The phenotypic class of alleles includes: viable. Summary of modENCODE Temporal Expression Profile:  Temporal profile ranges from a peak of very high expression to a trough of very low expression.  Peak expression observed within 00-06 hour embryonic stages.
N0.HOG0000073	None	None	-0.11188811188811189	0.729194990751066	n	0.25874125874125875	0.41677476889913834	n	None	1	21	10	5	14	16	4	15	16	18	15	15	13	18	20	rna-NM_140661.3	FBgn0036659	This gene is referred to in FlyBase by the symbol Dmel\CG9701 (FBgn0036659). It is a protein_coding_gene from Dmel. It has one annotated transcript and one polypeptide. Gene sequence location is 3L:16733546..16739364. Its molecular function is described by: hydrolase activity, hydrolyzing O-glycosyl compounds; beta-glucosidase activity. It is involved in the biological process described with: carbohydrate metabolic process. 6 alleles are reported. No phenotypic data is available. The phenotypic class of alleles includes: viable. Summary of modENCODE Temporal Expression Profile:  Temporal profile ranges from a peak of very high expression to a trough of extremely low expression.  Peak expression observed at stages throughout the pupal period.
N0.HOG0000078	Gene Group 26	glycolysis and early development (and other)	-0.6783216783216784	0.0153173290532817	n	-0.46153846153846156	0.13094806950717278	n	uncharacterized protein(CG8757)	9	2	5	7	34	17	17	41	9	7	5	7	6	7	39	rna-NM_140407.2	FBgn0036380	This gene is referred to in FlyBase by the symbol Dmel\CG8757 (FBgn0036380). It is a protein_coding_gene from Dmel. It has one annotated transcript and one polypeptide. Gene sequence location is 3L:13840197..13842240. Its molecular function is described by: 3-beta-hydroxysteroid 3-dehydrogenase (NADP+) activity; estradiol 17-beta-dehydrogenase [NAD(P)+] activity; 17-beta-hydroxysteroid dehydrogenase (NADP+) activity. The biological processes in which it is involved are not known. 3 alleles are reported. No phenotypic data is available. The phenotypic class of alleles includes: viable. Summary of modENCODE Temporal Expression Profile:  Temporal profile ranges from a peak of high expression to a trough of no expression detected.  Peak expression observed during late pupal stages.
N0.HOG0000082	Gene Group 2	protein breakdown (proteolysis)	-0.6121022427222839	0.0343892739141432	n	-0.47027367428663264	0.12287053954623404	n	uncharacterized protein(CG17242)	18	1	1	1	1	1	1	2	1	1	1	1	1	1	17	rna-NM_001272992.2	FBgn0250841	This gene is referred to in FlyBase by the symbol Dmel\CG17242 (FBgn0250841). It is a protein_coding_gene from Dmel. It has 2 annotated transcripts and 2 polypeptides (1 unique). Gene sequence location is 2L:2268106..2269140. Its molecular function is unknown. It is involved in the biological process described with: proteolysis; insemination. 8 alleles are reported. No phenotypic data is available. The phenotypic class of alleles includes: viable. Summary of modENCODE Temporal Expression Profile:  Temporal profile ranges from a peak of very high expression to a trough of no expression detected.  Peak expression observed in adult male stages.
N0.HOG0000085	Gene Group 3	lipid metabolic process (digestion)	-0.1328671328671329	0.6805975082860818	n	-0.14685314685314685	0.6487957097846664	n	uncharacterized protein(CG3635)	13	6	7	10	7	2	21	5	9	6	2	4	7	7	19	rna-NM_136294.5	FBgn0032981	This gene is referred to in FlyBase by the symbol Dmel\CG3635 (FBgn0032981). It is a protein_coding_gene from Dmel. It has 2 annotated transcripts and 2 polypeptides (all unique). Gene sequence location is 2L:22175415..22183991. Its molecular function is described by: triacylglycerol lipase activity; lipase activity; hydrolase activity, acting on ester bonds. It is involved in the biological process described with: lipid metabolic process. 8 alleles are reported. The phenotypes of these alleles manifest in: lipid droplet; adult midgut region R3; mesonotum; trichogen cell. The phenotypic classes of alleles include: abnormal body color; viable; visible. Summary of modENCODE Temporal Expression Profile:  Temporal profile ranges from a peak of moderate expression to a trough of extremely low expression.  Peak expression observed during late larval stages.
N0.HOG0000086	Gene Group 3	lipid metabolic process (digestion)	0.09859399412855982	0.7604837400712293	n	0.37324869205811934	0.23206767137485984	n	Lipase 4(Lip4)	6	10	4	1	8	5	7	4	1	1	4	4	5	3	9	rna-NM_001273427.1	FBgn0032264	The gene Lipase 4 is referred to in FlyBase by the symbol Dmel\Lip4 (CG6113, FBgn0032264). It is a protein_coding_gene from Dmel. It has 3 annotated transcripts and 3 polypeptides (all unique). Gene sequence location is 2L:10527572..10531778. Its molecular function is described by: hydrolase activity, acting on ester bonds; triacylglycerol lipase activity; serine hydrolase activity; lipase activity. It is involved in the biological process described with: lipid catabolic process; lipid metabolic process. 14 alleles are reported. The phenotype of these alleles manifest in: ovariole. The phenotypic classes of alleles include: fertile; viable; flightless. Summary of modENCODE Temporal Expression Profile:  Temporal profile ranges from a peak of high expression to a trough of very low expression.  Peak expression observed within 06-12 and 18-24 hour embryonic stages.
N0.HOG0000087	Gene Group 28	DNA-related functions	0.3706293706293707	0.2356210035126457	n	0.25874125874125875	0.41677476889913834	n	uncharacterized protein(CG14352)	1	3	28	3	1	1	9	8	3	1	23	2	3	5	27	rna-NM_134765.3	FBgn0031351	This gene is referred to in FlyBase by the symbol Dmel\CG14352 (FBgn0031351). It is a protein_coding_gene from Dmel. It has one annotated transcript and one polypeptide. Gene sequence location is 2L:1611410..1612576. Its molecular function is unknown. The biological processes in which it is involved are not known. 8 alleles are reported. No phenotypic data is available. The phenotypic class of alleles includes: viable. Summary of modENCODE Temporal Expression Profile:  Temporal profile ranges from a peak of moderately high expression to a trough of low expression.  Peak expression observed within 00-06 hour embryonic stages.
N0.HOG0000089	None	None	0.04195804195804196	0.8969858708195542	n	0.1398601398601399	0.6646331617926677	n	Alcohol dehydrogenase (from API summary)	6	31	43	5	8	7	17	5	10	10	7	6	5	8	38	rna-NM_001032098.2	FBgn0000055	The gene Alcohol dehydrogenase is referred to in FlyBase by the symbol Dmel\Adh (CG3481, FBgn0000055). It is a protein_coding_gene from Dmel. It has 5 annotated transcripts and 5 polypeptides (1 unique). Gene sequence location is 2L:14615552..14618902. Its molecular function is described by: aldehyde dehydrogenase (NAD+) activity; protein homodimerization activity; alcohol dehydrogenase (NAD+) activity. It is involved in the biological process described with 6 unique terms, many of which group under: cellular process; metabolic process; small molecule metabolic process; acetaldehyde metabolic process; nucleoside phosphate metabolic process. 482 alleles are reported. No phenotypic data is available. The phenotypic classes of alleles include: chemical sensitive; electrophoretic variant; wild-type; chemical resistant; abnormal locomotor behavior. Summary of modENCODE Temporal Expression Profile:  Temporal profile ranges from a peak of extremely high expression to a trough of low expression.  Peak expression observed at stages throughout the larval period, in adult male stages.  This gene is annotated by FlyBase as a dicistronic gene, meaning that some or all of its transcripts encode two or more polypeptide-coding open reading frames (ORFs) , with each ORF assigned to a different gene.  The distribution of RNA-Seq coverage data amongst the different encoded genes cannot be determined.
N0.HOG0000092	Gene Group 2	protein breakdown (proteolysis)	0.029858645986452867	0.9266070156694299	n	0.11570225319750486	0.7202854941958451	n	uncharacterized protein(CG11529)	2	4	4	1	7	8	19	9	1	1	1	1	1	1	18	rna-NM_140301.2	FBgn0036264	This gene is referred to in FlyBase by the symbol Dmel\CG11529 (FBgn0036264). It is a protein_coding_gene from Dmel. It has one annotated transcript and one polypeptide. Gene sequence location is 3L:12197791..12199030. Its molecular function is described by: serine-type endopeptidase activity. It is involved in the biological process described with: innate immune response; proteolysis. 4 alleles are reported. The phenotypes of these alleles manifest in: mesonotum; ganglion mother cell. The phenotypic classes of alleles include: lethal; flightless; abnormal neuroanatomy; viable; partially lethal - majority die; visible. Summary of modENCODE Temporal Expression Profile:  Temporal profile ranges from a peak of very high expression to a trough of no expression detected.  Peak expression observed during late larval stages.
N0.HOG0000093	Gene Group 2	protein breakdown (proteolysis)	-0.4306731657495821	0.16222059753277357	n	-0.36304680087981306	0.24608852288355584	n	uncharacterized protein(CG7542)	2	1	1	1	28	28	9	37	6	1	1	1	1	1	36	rna-NM_001300170.1	FBgn0036738	This gene is referred to in FlyBase by the symbol Dmel\CG7542 (FBgn0036738). It is a protein_coding_gene from Dmel. It has 2 annotated transcripts and 2 polypeptides (1 unique). Gene sequence location is 3L:17549826..17550980. Its molecular function is described by: serine-type endopeptidase activity. It is involved in the biological process described with: proteolysis; innate immune response. 5 alleles are reported. No phenotypic data is available. The phenotypic class of alleles includes: viable. Summary of modENCODE Temporal Expression Profile:  Temporal profile ranges from a peak of very high expression to a trough of no expression detected.  Peak expression observed in adult male stages.
N0.HOG0000095	Gene Group 1	Cytochrome P450	-0.06293706293706294	0.8459309212287789	n	0.35664335664335667	0.25513775175895725	n	Cytochrome P450 4d1(Cyp4d1)	15	20	11	2	13	10	29	5	7	5	7	14	8	14	27	rna-NM_057559.4	FBgn0005670	The gene Cytochrome P450 4d1 is referred to in FlyBase by the symbol Dmel\Cyp4d1 (CG3656, FBgn0005670). It is a protein_coding_gene from Dmel. It has 2 annotated transcripts and 2 polypeptides (all unique). Gene sequence location is X:2159145..2162180. Its molecular function is described by: iron ion binding; monooxygenase activity; oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen; heme binding. The biological processes in which it is involved are not known. 13 alleles are reported. The phenotypes of these alleles manifest in: embryonic/larval fat body; lipid droplet. The phenotypic class of alleles includes: viable. Summary of modENCODE Temporal Expression Profile:  Temporal profile ranges from a peak of very high expression to a trough of very low expression.  Peak expression observed during late larval stages.
N0.HOG0000101	Gene Group 23	glutathione metabolic process	-0.07746670967243986	0.81087645719889	n	0.1690182756489597	0.599497869823576	n	Glutathione S transferase E12(GstE12)	3	24	11	6	14	15	24	19	2	1	1	1	1	1	23	rna-NM_138120.3	FBgn0027590	The gene Glutathione S transferase E12 is referred to in FlyBase by the symbol Dmel\GstE12 (CG16936, FBgn0027590). It is a protein_coding_gene from Dmel. It has 4 annotated transcripts and 4 polypeptides (1 unique). Gene sequence location is 2R:24766718..24768172. Its molecular function is described by: glutathione transferase activity. It is involved in the biological process described with: glutathione metabolic process. 8 alleles are reported. No phenotypic data is available. The phenotypic class of alleles includes: viable. Summary of modENCODE Temporal Expression Profile:  Temporal profile ranges from a peak of very high expression to a trough of low expression.  Peak expression observed within 18-24 hour embryonic stages, at stages throughout the larval period, at stages throughout the pupal period, in stages of adults of both sexes.
N0.HOG0000108	Gene Group 24	Cuticular protein	0.5734265734265735	0.05126558978649144	n	0.6573426573426573	0.020185498509854096	n	Cuticular protein 78Cc(Cpr78Cc)	4	8	4	8	5	7	7	6	2	15	14	9	8	10	13	rna-NM_141043.3	FBgn0037069	The gene Cuticular protein 78Cc is referred to in FlyBase by the symbol Dmel\Cpr78Cc (CG7658, FBgn0037069). It is a protein_coding_gene from Dmel. It has one annotated transcript and one polypeptide. Gene sequence location is 3L:21300580..21301171. Its molecular function is described by: structural constituent of chitin-based larval cuticle. It is involved in the biological process described with: chitin-based cuticle development. 2 alleles are reported. No phenotypic data is available. The phenotypic class of alleles includes: viable. Summary of modENCODE Temporal Expression Profile:  Temporal profile ranges from a peak of very high expression to a trough of extremely low expression.  Peak expression observed within 12-24 hour embryonic stages, at stages throughout the larval period, at stages throughout the pupal period.
N0.HOG0000112	Gene Group 26	glycolysis and early development (and other)	0.6433566433566434	0.024003191200713644	n	0.44755244755244755	0.14458630130334754	n	UDP-glycosyltransferase family 303 member A1(Ugt303A1)	19	6	1	5	4	7	13	3	1	2	3	2	3	3	18	rna-NM_001275541.1	FBgn0040252	The gene UDP-glycosyltransferase family 303 member A1 is referred to in FlyBase by the symbol Dmel\Ugt303A1 (CG4772, FBgn0040252). It is a protein_coding_gene from Dmel. It has 2 annotated transcripts and 2 polypeptides (1 unique). Gene sequence location is 3R:11175529..11177910. Its molecular function is described by: UDP-glycosyltransferase activity. The biological processes in which it is involved are not known. 4 alleles are reported. No phenotypic data is available. The phenotypic classes of alleles include: viable; abnormal pain response; partially lethal. Summary of modENCODE Temporal Expression Profile:  Temporal profile ranges from a peak of moderately high expression to a trough of no expression detected.  Peak expression observed within 18-24 hour embryonic stages.
N0.HOG0000113	Gene Group 26	glycolysis and early development (and other)	0.2797202797202798	0.37856866966230307	n	0.04195804195804196	0.8969858708195542	n	UDP-glycosyltransferase family 316 member A1(Ugt316A1)	1	1	19	10	5	5	2	1	9	6	5	2	4	6	18	rna-NM_001300182.1	FBgn0036842	The gene UDP-glycosyltransferase family 316 member A1 is referred to in FlyBase by the symbol Dmel\Ugt316A1 (CG3797, FBgn0036842). It is a protein_coding_gene from Dmel. It has 2 annotated transcripts and 2 polypeptides (1 unique). Gene sequence location is 3L:19059400..19062816. Its molecular function is described by: UDP-glycosyltransferase activity. The biological processes in which it is involved are not known. 4 alleles are reported. No phenotypic data is available. No phenotypic class data is available. Summary of modENCODE Temporal Expression Profile:  Temporal profile ranges from a peak of moderately high expression to a trough of moderate expression.  Peak expression observed within 00-12 and 18-24 hour embryonic stages, during late larval stages, at stages throughout the pupal period, in adult female stages.
N0.HOG0000119	Gene Group 2	protein breakdown (proteolysis)	0.04895104895104895	0.8799185788786749	n	0.21678321678321683	0.49855598552418856	n	uncharacterized protein(CG11841)	5	10	7	5	10	9	39	12	5	9	4	2	2	3	37	rna-NM_143404.2	FBgn0039628	This gene is referred to in FlyBase by the symbol Dmel\CG11841 (FBgn0039628). It is a protein_coding_gene from Dmel. It has one annotated transcript and one polypeptide. Gene sequence location is 3R:29051056..29052267. Its molecular function is described by: serine-type endopeptidase activity. It is involved in the biological process described with: proteolysis; innate immune response. 4 alleles are reported. No phenotypic data is available. The phenotypic classes of alleles include: partially lethal - majority die; viable; some die during pupal stage. Summary of modENCODE Temporal Expression Profile:  Temporal profile ranges from a peak of high expression to a trough of no expression detected.  Peak expression observed in adult male stages.
